"","Team","GP_mid","W_mid","L_mid","GF_mid","GA_mid","OT_mid","W","L","GF","GA","OT"
"1"," Anaheim Duc",51,21,30,120,153,9,44,38,235,216,13
"2"," Arizona Coy",50,23,27,132,142,4,29,53,208,256,12
"3"," Boston Brui",49,27,22,143,128,5,50,32,270,214,12
"4"," Buffalo Sab",48,24,24,140,144,6,25,57,199,280,12
"5"," Calgary Fla",51,33,18,190,145,5,37,45,218,248,10
"6"," Carolina Hu",50,24,26,140,149,6,36,46,228,256,11
"7"," Chicago Bla",51,18,33,156,190,9,33,49,229,256,10
"8"," Colorado Av",50,22,28,169,162,8,43,39,257,237,9
"9"," Columbus Bl",48,28,20,154,146,3,45,37,242,230,7
"10"," Dallas Star",49,24,25,126,128,4,42,40,235,225,8
"11"," Detroit Red",51,19,32,145,172,7,30,52,217,255,13
"12"," Edmonton Oi",50,23,27,144,163,3,36,46,234,263,6
"13"," Florida Pan",48,20,28,152,170,8,44,38,248,246,8
"14"," Los Angeles",50,20,30,114,150,4,45,37,239,203,8
"15"," Minnesota W",50,26,24,142,142,3,45,37,253,232,11
"16"," Montreal Ca",51,28,23,154,149,5,29,53,209,264,13
"17"," Nashville P",52,30,22,161,135,4,53,29,267,211,11
"18"," New Jersey ",49,19,30,146,167,7,44,38,248,244,9
"19"," New York Is",49,29,20,147,122,5,35,47,264,296,10
"20"," New York Ra",48,21,27,139,164,7,34,48,231,268,9
"21"," Ottawa Sena",50,19,31,156,187,5,28,54,221,291,11
"22"," Philadelphi",49,20,29,142,170,6,42,40,251,243,14
"23"," Pittsburgh ",49,26,23,172,152,6,47,35,272,250,6
"24"," San Jose Sh",52,29,23,187,167,7,45,37,252,229,10
"25"," St. Louis B",49,22,27,139,149,5,44,38,226,222,6
"26"," Tampa Bay L",49,37,12,199,140,2,54,28,296,236,5
"27"," Toronto Map",49,30,19,174,140,2,49,33,277,232,7
"28"," Vancouver C",51,23,28,147,161,6,31,51,218,264,11
"29"," Vegas Golde",52,29,23,157,140,4,51,31,272,228,7
"30"," Washington ",50,27,23,171,162,6,49,33,259,239,7
"31"," Winnipeg Je",49,31,18,168,137,2,52,30,277,218,10
