"","Team","GF_mid","GA_mid","OTL_mid","W_mid","L_mid","GP_mid","GF","GA","OTL","W","L"
"1","Anaheim",144,142,9,25,17,51,235,216,"13","44","25"
"2","Arizona",118,172,9,12,29,50,208,256,"12","29","41"
"3","Boston",157,119,8,29,11,48,270,214,"12","50","20"
"4","Buffalo",114,163,9,14,26,49,199,280,"12","25","45"
"5","Calgary",137,135,8,25,16,49,218,248,"10","37","35"
"6","Carolina",137,154,8,22,19,49,228,256,"11","36","35"
"7","Chicago",146,136,7,23,19,49,229,256,"10","33","39"
"8","Colorado",157,139,3,27,18,48,257,237,"9","43","30"
"9","Columbus",131,137,3,27,19,49,242,230,"7","45","30"
"10","Dallas",155,134,4,28,18,50,235,225,"8","42","32"
"11","Detroit",126,146,8,19,21,48,217,255,"13","30","39"
"12","Edmonton",135,157,3,22,24,49,234,263,"6","36","40"
"13","Florida",132,158,6,19,22,47,248,246,"8","44","30"
"14","Los Angeles",139,121,5,26,18,49,239,203,"8","45","29"
"15","Minnesota",144,140,5,26,18,49,253,232,"11","45","26"
"16","Montreal",129,156,6,20,23,49,209,264,"13","29","40"
"17","Nashville",145,123,7,29,11,47,267,211,"11","53","18"
"18","New Jersey",144,146,8,24,16,48,248,244,"9","44","29"
"19","NY Islanders",172,180,5,25,20,50,264,296,"10","35","37"
"20","NY Rangers",153,151,5,25,20,50,231,268,"9","34","39"
"21","Ottawa",124,166,9,15,23,47,221,291,"11","28","43"
"22","Philadelphia",141,141,8,24,17,49,251,243,"14","42","26"
"23","Pittsburgh",151,153,3,27,21,51,272,250,"6","47","29"
"24","San Jose",143,133,7,26,15,48,252,229,"10","45","27"
"25","St Louis",148,130,3,30,18,51,226,222,"6","44","32"
"26","Tampa Bay",175,125,3,34,12,49,296,236,"5","54","23"
"27","Toronto",162,146,5,28,18,51,277,232,"7","49","26"
"28","Vancouver",127,159,6,19,24,49,218,264,"11","31","40"
"29","Vegas",164,128,4,32,12,48,272,228,"7","51","24"
"30","Washington",150,138,5,29,15,49,259,239,"7","49","26"
"31","Winnipeg",164,136,8,29,13,50,277,218,"10","52","20"
